classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
-1.0,13,282,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,13,393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,13,153,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.056,6,392,0.1541132997887052,0.1,0.08,0.07333333333333333,0.075,0.074
0.058,5,169,0.15325996387898183,0.1,0.08,0.07666666666666666,0.0775,0.076
0.064,10,340,0.1519925033192501,0.1,0.075,0.07333333333333333,0.075,0.074
0.07,9,337,0.15113541756709437,0.11,0.085,0.08,0.08,0.08
0.088,13,29,0.15122574773600114,0.12,0.095,0.08666666666666667,0.085,0.09
0.092,4,167,0.1516719480953706,0.12,0.095,0.08666666666666667,0.085,0.09
0.098,15,339,0.15467088341772958,0.13,0.1,0.09,0.0875,0.092
0.1,2,391,0.18347507185508863,0.13,0.1,0.09,0.0875,0.092
0.104,16,478,0.1527008063538034,0.13,0.1,0.09333333333333334,0.09,0.094
0.106,3,489,0.15234514980593636,0.13,0.1,0.09333333333333334,0.09,0.092
0.108,16,338,0.15709094225699305,0.13,0.105,0.09666666666666666,0.0925,0.096
0.11,10,437,0.1525333440487601,0.13,0.105,0.09666666666666666,0.0925,0.096
0.114,9,479,0.15474919679252713,0.13,0.11,0.1,0.095,0.098
0.116,14,429,0.1536029872108076,0.14,0.115,0.10666666666666667,0.1,0.104
0.122,2,488,0.15453651332183233,0.14,0.115,0.10666666666666667,0.105,0.108
0.13,15,430,0.15643761071445048,0.16,0.125,0.11333333333333333,0.11,0.112
0.136,15,436,0.15514055385521963,0.15,0.125,0.11666666666666667,0.1125,0.114
0.14,4,465,0.1541229106234712,0.16,0.13,0.12,0.1175,0.118
0.144,9,326,0.1538164094256731,0.16,0.125,0.11666666666666667,0.115,0.118
0.148,8,113,0.1538715688844552,0.17,0.13,0.12,0.1175,0.124
0.152,12,431,0.16326224232718806,0.17,0.13,0.12333333333333334,0.12,0.126
0.156,16,176,0.1543536761077668,0.17,0.14,0.13,0.125,0.132
0.162,10,269,0.15415899814167333,0.17,0.145,0.13333333333333333,0.1275,0.134
0.176,0,270,0.15445891355853433,0.18,0.155,0.14,0.135,0.142
0.176,2,432,0.16844844153985816,0.17,0.155,0.13666666666666666,0.135,0.142
0.18,1,95,0.1546867019784636,0.19,0.175,0.15,0.1425,0.148
0.186,6,112,0.15479538195349046,0.19,0.175,0.15666666666666668,0.15,0.154
0.188,2,305,0.15487181156156707,0.19,0.175,0.15666666666666668,0.155,0.158
0.196,2,306,0.15507969023452947,0.19,0.175,0.15666666666666668,0.155,0.158
0.198,8,93,0.15527095662899948,0.19,0.175,0.15666666666666668,0.16,0.162
0.204,5,111,0.15533585592929977,0.19,0.18,0.16,0.165,0.166
0.21,7,377,0.15485509146087678,0.19,0.185,0.16333333333333333,0.165,0.168
0.218,19,240,0.15498530451948295,0.2,0.2,0.16666666666666666,0.1675,0.17
0.222,0,376,0.15497510862160976,0.19,0.19,0.16,0.1625,0.166
0.222,16,466,0.15986171211437458,0.18,0.19,0.15666666666666668,0.1575,0.164
0.224,6,162,0.15502815685525131,0.18,0.19,0.15666666666666668,0.1575,0.164
0.23,11,381,0.15514311628050026,0.19,0.2,0.16333333333333333,0.1625,0.168
0.232,8,375,0.154988612894844,0.2,0.205,0.16666666666666666,0.165,0.172
0.238,8,394,0.15452182762768346,0.2,0.215,0.17333333333333334,0.17,0.176
0.238,7,216,0.1543424712992119,0.19,0.205,0.17,0.1675,0.176
0.242,16,325,0.15955800634481307,0.19,0.205,0.17,0.1675,0.176
0.246,12,177,0.15979403418907812,0.18,0.2,0.16666666666666666,0.165,0.174
0.246,5,464,0.15600809819973244,0.18,0.2,0.16666666666666666,0.165,0.176
0.252,11,271,0.159577166466161,0.18,0.2,0.16666666666666666,0.165,0.174
0.254,0,396,0.15520698951393547,0.16,0.19,0.16,0.1625,0.172
0.254,0,217,0.15513089426226118,0.16,0.185,0.15666666666666668,0.16,0.168
0.254,11,241,0.15477972296420134,0.16,0.185,0.15666666666666668,0.16,0.168
0.25,16,480,0.17529495439226975,0.15,0.175,0.15,0.1575,0.168
0.26,19,307,0.15905098299863293,0.15,0.175,0.15,0.1625,0.172
0.258,8,266,0.15955792658691262,0.15,0.17,0.14666666666666667,0.16,0.17
0.256,12,267,0.16128306219098165,0.17,0.18,0.15333333333333332,0.1675,0.176
0.262,0,268,0.16297919968442565,0.17,0.18,0.15333333333333332,0.1675,0.174
0.268,3,242,0.15833081626169165,0.18,0.18,0.15,0.1675,0.174
0.27,17,164,0.15768716185602652,0.19,0.185,0.15666666666666668,0.1725,0.176
0.272,13,130,0.1573271463511014,0.2,0.19,0.16,0.175,0.18
0.266,1,463,0.15736975056690505,0.19,0.185,0.15666666666666668,0.1725,0.178
0.266,13,243,0.15709714868067295,0.19,0.18,0.15666666666666668,0.17,0.178
0.264,15,232,0.1567052081952962,0.19,0.18,0.15666666666666668,0.17,0.178
0.266,16,233,0.1573480504294072,0.19,0.18,0.16333333333333333,0.175,0.184
0.274,12,380,0.1592250842252048,0.19,0.18,0.16333333333333333,0.175,0.182
0.274,4,131,0.15974738466569133,0.19,0.18,0.16666666666666666,0.1775,0.184
0.278,11,462,0.15829876545999366,0.19,0.175,0.16333333333333333,0.175,0.182
0.282,4,426,0.1571303415011696,0.19,0.175,0.16333333333333333,0.175,0.182
0.288,4,234,0.16030097293327406,0.18,0.17,0.16,0.175,0.182
0.29,1,239,0.1601878273681039,0.18,0.17,0.16,0.175,0.18
0.294,12,379,0.16024462155568495,0.19,0.175,0.16333333333333333,0.18,0.184
0.298,17,21,0.15790561005183423,0.19,0.175,0.16333333333333333,0.18,0.186
0.304,18,236,0.162445455188381,0.19,0.175,0.16333333333333333,0.18,0.186
0.304,10,132,0.16267985402359914,0.19,0.18,0.16666666666666666,0.1825,0.188
0.304,5,128,0.1589278832134552,0.2,0.185,0.17,0.185,0.19
0.304,12,461,0.15976497527370181,0.21,0.19,0.17333333333333334,0.1875,0.192
0.304,13,129,0.16290408179684795,0.2,0.195,0.17666666666666667,0.19,0.194
0.306,19,235,0.1643950404153763,0.2,0.2,0.18333333333333332,0.1975,0.2
0.32,8,304,0.16462752964475752,0.21,0.205,0.19,0.2025,0.204
0.324,13,324,0.16809612110368694,0.21,0.205,0.19,0.2025,0.206
0.324,10,445,0.1651618711588674,0.21,0.2,0.19,0.2025,0.206
0.33,1,433,0.19351219924265753,0.22,0.205,0.19333333333333333,0.2075,0.21
0.338,1,482,0.19412677255122054,0.25,0.22,0.20666666666666667,0.2175,0.218
0.34,9,336,0.19235691943892155,0.26,0.23,0.21333333333333335,0.2225,0.224
0.34,7,440,0.19455815480796515,0.27,0.235,0.21666666666666667,0.225,0.226
0.34,15,441,0.19795800641422467,0.28,0.24,0.22,0.2275,0.23
0.346,19,481,0.1990115379437773,0.28,0.24,0.22,0.2275,0.232
0.346,4,450,0.17120796811834912,0.28,0.24,0.22333333333333333,0.23,0.234
0.356,10,96,0.1709988555679724,0.28,0.24,0.22333333333333333,0.23,0.232
0.36,13,170,0.23757632405562468,0.28,0.24,0.22333333333333333,0.23,0.232
0.366,3,491,0.18947900021328667,0.28,0.24,0.22666666666666666,0.235,0.238
0.364,0,335,0.1864487928478801,0.3,0.25,0.23333333333333334,0.2375,0.24
0.366,15,449,0.17463882841533598,0.3,0.25,0.23333333333333334,0.2375,0.24
0.37,5,334,0.1846719504054982,0.3,0.25,0.23666666666666666,0.24,0.242
0.37,10,94,0.1728514388857646,0.31,0.25,0.23666666666666666,0.24,0.242
0.372,11,281,0.24444463091492008,0.33,0.26,0.24333333333333335,0.245,0.248
0.38,16,442,0.23116944255169236,0.33,0.26,0.24666666666666667,0.2475,0.252
0.384,13,490,0.19728078775806915,0.33,0.26,0.24666666666666667,0.2475,0.252
0.388,8,428,0.18388013018288246,0.33,0.255,0.24333333333333335,0.245,0.25
0.406,6,443,0.23826737700413375,0.33,0.255,0.24333333333333335,0.245,0.25
0.406,10,175,0.18328742920553753,0.33,0.255,0.24333333333333335,0.2475,0.252
0.408,10,444,0.24240541233074295,0.33,0.255,0.24333333333333335,0.25,0.254
0.41,5,425,0.18065723423761373,0.33,0.255,0.24333333333333335,0.2525,0.256
0.412,16,467,0.17870883625264244,0.34,0.265,0.25333333333333335,0.26,0.262
0.412,10,152,0.21501170054420124,0.34,0.27,0.25666666666666665,0.2625,0.264
0.416,3,483,0.22834851151684188,0.34,0.27,0.25666666666666665,0.2625,0.264
0.42,11,468,0.1803947126784656,0.34,0.27,0.25666666666666665,0.2625,0.264
0.424,1,385,0.18128164177054457,0.34,0.27,0.25666666666666665,0.2625,0.266
0.436,10,484,0.23300796970577836,0.35,0.275,0.26,0.265,0.268
0.436,4,280,0.2219251534643508,0.35,0.275,0.26,0.265,0.266
0.44,17,492,0.2133337614145931,0.35,0.275,0.26,0.2675,0.268
0.44,17,151,0.20508602698833908,0.35,0.275,0.26,0.265,0.268
0.444,14,219,0.1787032373918336,0.33,0.265,0.25333333333333335,0.26,0.264
0.45,12,493,0.2170513100936496,0.33,0.265,0.25333333333333335,0.26,0.264
0.454,15,327,0.2035214028456169,0.34,0.27,0.25666666666666665,0.2625,0.266
0.454,17,150,0.19948676182334552,0.34,0.27,0.25333333333333335,0.26,0.264
0.452,2,279,0.21137091770633054,0.34,0.27,0.25333333333333335,0.26,0.264
0.452,5,494,0.22138869993206878,0.34,0.27,0.25333333333333335,0.26,0.264
