classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
-1.0,13,282,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,13,393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,13,153,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.056,6,392,0.15384711299040343,0.1,0.08,0.07333333333333333,0.075,0.074
0.058,5,169,0.1525932972733207,0.1,0.08,0.07333333333333333,0.075,0.074
0.06,10,340,0.15271976657565464,0.1,0.08,0.07333333333333333,0.075,0.074
0.064,9,337,0.1511400824624388,0.1,0.08,0.07333333333333333,0.075,0.076
0.07,1,168,0.15123598286626264,0.1,0.08,0.07333333333333333,0.075,0.076
0.074,0,415,0.1505633184138122,0.1,0.08,0.07333333333333333,0.075,0.076
0.078,9,479,0.15081202599560484,0.1,0.08,0.07666666666666666,0.0775,0.08
0.08,4,167,0.1513062062072501,0.1,0.08,0.07666666666666666,0.08,0.082
0.084,16,478,0.1512987264532776,0.1,0.08,0.07666666666666666,0.08,0.082
0.086,15,339,0.1586770913189559,0.1,0.08,0.07666666666666666,0.08,0.084
0.098,3,489,0.15128371162350765,0.11,0.085,0.08,0.0825,0.086
0.108,7,414,0.1511570104241782,0.11,0.085,0.08,0.0825,0.086
0.112,11,166,0.15115332701281647,0.12,0.09,0.08666666666666667,0.0875,0.092
0.118,9,413,0.15133508828029757,0.12,0.095,0.09,0.09,0.094
0.13,9,286,0.1511684827832589,0.12,0.1,0.09666666666666666,0.095,0.098
0.142,11,165,0.15182882257690847,0.12,0.105,0.09666666666666666,0.0975,0.1
0.148,2,488,0.15225936594927195,0.13,0.125,0.11,0.1075,0.11
0.148,2,477,0.1533017024445528,0.13,0.13,0.11333333333333333,0.1075,0.11
0.154,3,487,0.1525781674960911,0.15,0.145,0.13,0.125,0.124
0.154,17,164,0.15236397552813366,0.17,0.155,0.13666666666666666,0.1325,0.13
0.154,10,486,0.15287720096322047,0.17,0.165,0.15,0.1475,0.144
0.162,1,411,0.15221290472295004,0.15,0.155,0.14666666666666667,0.1425,0.142
0.166,16,480,0.1604317820095587,0.15,0.155,0.14666666666666667,0.1375,0.138
0.168,13,490,0.15860619778532578,0.16,0.16,0.15333333333333332,0.145,0.144
0.168,16,338,0.17750572056025624,0.15,0.15,0.15,0.1425,0.142
0.174,19,481,0.17003907676710175,0.15,0.155,0.15333333333333332,0.145,0.142
0.178,3,491,0.16419353513146184,0.15,0.155,0.15333333333333332,0.145,0.142
0.182,9,401,0.1567580151442248,0.15,0.155,0.15333333333333332,0.145,0.142
0.182,1,402,0.15786646414946445,0.16,0.155,0.15666666666666668,0.1475,0.142
0.186,1,482,0.1825361639471242,0.17,0.16,0.16,0.15,0.144
0.184,3,483,0.18559055948778844,0.16,0.155,0.15333333333333332,0.1425,0.138
0.184,16,403,0.16120123960935276,0.16,0.155,0.15333333333333332,0.1425,0.14
0.188,17,492,0.17492662885710755,0.16,0.16,0.16,0.1475,0.144
0.192,18,404,0.16333576035284372,0.15,0.155,0.15666666666666668,0.145,0.142
0.192,14,405,0.16437489694312737,0.16,0.155,0.16,0.1475,0.144
0.194,4,155,0.1616354649096786,0.15,0.155,0.16,0.15,0.146
0.198,8,163,0.16173307138891238,0.16,0.165,0.16666666666666666,0.155,0.152
0.198,12,395,0.16380406986990775,0.17,0.17,0.17,0.1575,0.156
0.204,2,469,0.16083286454002954,0.17,0.17,0.17,0.16,0.158
0.208,0,396,0.16678460491204242,0.17,0.17,0.17,0.16,0.156
0.214,2,470,0.1632553665647555,0.18,0.18,0.18,0.17,0.164
0.222,1,472,0.16442282820993356,0.18,0.185,0.18333333333333332,0.1725,0.166
0.232,13,283,0.15428135378960636,0.19,0.19,0.18666666666666668,0.1775,0.172
0.232,8,195,0.15440669806510385,0.19,0.19,0.19,0.18,0.174
0.236,12,493,0.19434622442409916,0.19,0.19,0.19333333333333333,0.1825,0.178
0.242,5,494,0.19584254549458313,0.19,0.19,0.19666666666666666,0.185,0.182
0.25,17,473,0.16997924230604455,0.2,0.195,0.20666666666666667,0.1925,0.19
0.262,10,275,0.15682612727587986,0.2,0.195,0.21333333333333335,0.205,0.204
0.27,4,474,0.17200616900017135,0.21,0.2,0.21666666666666667,0.21,0.206
0.278,9,196,0.15611022808637762,0.22,0.205,0.22,0.2175,0.214
0.28,14,273,0.1559028715578059,0.22,0.205,0.22,0.2175,0.218
0.28,10,484,0.18517724460538953,0.22,0.205,0.22,0.2175,0.218
0.29,19,277,0.16283812053067143,0.21,0.2,0.21666666666666667,0.215,0.222
0.29,0,268,0.15745074133932457,0.22,0.21,0.22333333333333333,0.22,0.226
0.3,7,272,0.15694932906105627,0.22,0.21,0.22333333333333333,0.22,0.226
0.306,4,465,0.15715704976881248,0.22,0.21,0.22333333333333333,0.2225,0.228
0.312,0,278,0.1672354976315417,0.22,0.215,0.22666666666666666,0.225,0.23
0.314,10,397,0.18831983417648424,0.22,0.215,0.22666666666666666,0.2275,0.23
0.318,0,270,0.16351526670145694,0.22,0.215,0.22666666666666666,0.2275,0.23
0.322,7,253,0.15763395899973298,0.22,0.215,0.22666666666666666,0.2275,0.23
0.332,2,279,0.17115116788804616,0.22,0.215,0.22666666666666666,0.23,0.23
0.34,11,271,0.16701575456029777,0.22,0.215,0.22666666666666666,0.2325,0.232
0.342,10,475,0.18287238334476674,0.22,0.215,0.22666666666666666,0.2375,0.24
0.346,3,471,0.16609268685263437,0.25,0.23,0.23666666666666666,0.245,0.248
0.35,14,387,0.16818032587620185,0.26,0.235,0.24,0.2475,0.25
0.354,13,388,0.1704747516047842,0.26,0.235,0.24,0.2525,0.254
0.36,1,389,0.1727200742442335,0.28,0.25,0.25333333333333335,0.2625,0.262
0.364,11,462,0.16729941452478705,0.28,0.26,0.26,0.2675,0.268
0.37,1,463,0.16971274017692448,0.28,0.265,0.26666666666666666,0.2725,0.272
0.376,3,398,0.19663733323138818,0.28,0.265,0.26666666666666666,0.2725,0.27
0.38,11,390,0.18124129084334115,0.28,0.265,0.27,0.2725,0.27
0.384,5,464,0.17664370243691946,0.28,0.27,0.27,0.275,0.272
0.388,12,380,0.17457746269628166,0.29,0.275,0.2733333333333333,0.2775,0.276
0.398,10,422,0.16669032787657087,0.3,0.29,0.2833333333333333,0.285,0.282
0.402,11,381,0.1808105526301983,0.3,0.29,0.2833333333333333,0.285,0.284
0.412,18,485,0.2689346501818316,0.31,0.295,0.2833333333333333,0.285,0.284
0.412,2,391,0.19245691880953664,0.32,0.305,0.29,0.2875,0.288
0.416,9,336,0.1929199661550627,0.33,0.305,0.2966666666666667,0.29,0.292
0.42,3,383,0.192572511373051,0.34,0.315,0.30666666666666664,0.295,0.294
0.426,7,384,0.19533181167156485,0.34,0.315,0.30666666666666664,0.295,0.294
0.426,16,466,0.1946295387116,0.34,0.315,0.30666666666666664,0.2975,0.296
0.432,1,385,0.2006436946378433,0.34,0.31,0.30666666666666664,0.2975,0.296
0.434,16,467,0.19789366845129924,0.34,0.315,0.31,0.3,0.298
0.434,11,468,0.18020328260450258,0.34,0.315,0.31,0.3,0.298
0.432,15,423,0.17384403365660178,0.35,0.32,0.31333333333333335,0.3025,0.302
0.432,0,335,0.18837688815712852,0.35,0.32,0.31333333333333335,0.3025,0.302
0.43,12,379,0.17180378689719988,0.34,0.315,0.31333333333333335,0.3025,0.302
0.434,15,446,0.17141839336023848,0.34,0.315,0.31333333333333335,0.3025,0.302
0.434,12,200,0.16714039463957597,0.34,0.315,0.31333333333333335,0.305,0.304
0.438,8,394,0.20075943088857354,0.34,0.315,0.31333333333333335,0.3025,0.302
0.442,5,334,0.18502545096182432,0.34,0.32,0.31666666666666665,0.305,0.304
0.444,2,495,0.24458295316210973,0.34,0.315,0.31333333333333335,0.3025,0.302
0.446,12,333,0.1835983761215686,0.34,0.315,0.31666666666666665,0.305,0.304
0.448,13,424,0.17844722001416755,0.33,0.31,0.31,0.3,0.302
0.448,1,386,0.22798560476352536,0.34,0.315,0.31666666666666665,0.305,0.308
0.456,10,96,0.16867595420011738,0.34,0.315,0.31666666666666665,0.305,0.308
0.46,3,199,0.16917926807644781,0.34,0.31,0.31333333333333335,0.305,0.308
0.46,5,425,0.1803228548248419,0.34,0.305,0.31,0.305,0.308
0.46,12,378,0.17756438027256558,0.34,0.31,0.31333333333333335,0.3075,0.308
0.464,7,377,0.18039173930490993,0.34,0.31,0.31333333333333335,0.305,0.308
0.468,12,332,0.1774587771748055,0.34,0.31,0.31,0.3025,0.306
0.474,10,445,0.17618632750242808,0.34,0.31,0.31,0.3025,0.308
0.476,10,94,0.1706727961219703,0.34,0.315,0.31666666666666665,0.3075,0.312
0.474,4,496,0.24761864710456874,0.34,0.315,0.31666666666666665,0.3075,0.312
0.476,13,170,0.23195864821433537,0.34,0.32,0.32,0.3125,0.316
0.478,12,476,0.18969716144560983,0.34,0.32,0.32,0.315,0.318
0.48,13,497,0.24781956581820436,0.34,0.325,0.32666666666666666,0.32,0.322
0.484,12,267,0.20028874879416408,0.34,0.325,0.32666666666666666,0.3175,0.32
0.486,1,433,0.18794524098068027,0.34,0.325,0.33,0.3175,0.322
0.486,4,276,0.1843783394976915,0.34,0.32,0.32666666666666666,0.315,0.32
0.49,11,281,0.24218277647111022,0.34,0.32,0.32666666666666666,0.315,0.32
0.488,3,154,0.21343383760469192,0.34,0.32,0.33,0.315,0.324
0.49,18,435,0.2023884078329134,0.34,0.32,0.33,0.315,0.322
