classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
-1.0,15,55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,17,473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,18,41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.096,14,387,0.15000607222246218,0.08,0.06,0.08,0.09,0.094
0.12,14,298,0.1501988495935848,0.12,0.1,0.11,0.1175,0.116
0.136,2,470,0.15036315306431658,0.12,0.115,0.12333333333333334,0.1275,0.13
0.138,14,114,0.15046566165240816,0.13,0.125,0.13,0.1325,0.134
0.144,12,267,0.15049871251754204,0.12,0.12,0.12666666666666668,0.135,0.136
0.156,7,250,0.15083048867520268,0.12,0.12,0.12666666666666668,0.135,0.136
0.176,12,92,0.15098146644718352,0.13,0.13,0.13666666666666666,0.14,0.142
0.198,12,476,0.15110734201275938,0.14,0.135,0.14666666666666667,0.1475,0.152
0.218,12,493,0.15114065081999487,0.14,0.135,0.15,0.155,0.156
0.23,12,210,0.1511712199425365,0.13,0.14,0.15,0.16,0.162
0.23,1,145,0.15144699476245346,0.13,0.145,0.15666666666666668,0.1675,0.17
0.234,9,459,0.1515600784857938,0.13,0.145,0.16,0.1725,0.174
0.24,1,411,0.15201154401007505,0.12,0.14,0.15666666666666668,0.1725,0.176
0.242,1,433,0.15237224626695794,0.13,0.145,0.16,0.1775,0.182
0.256,1,418,0.15268777364502809,0.15,0.155,0.17,0.1825,0.186
0.286,1,460,0.15299898450640162,0.16,0.175,0.19,0.1975,0.2
0.298,1,23,0.15290362245016328,0.17,0.18,0.19666666666666666,0.205,0.208
0.294,1,79,0.15308022077836947,0.18,0.175,0.19333333333333333,0.2,0.204
0.282,1,255,0.1530861965169997,0.17,0.17,0.19333333333333333,0.205,0.204
0.27,1,138,0.15325811017929397,0.16,0.16,0.19333333333333333,0.2125,0.21
0.266,15,50,0.1539027650687924,0.16,0.155,0.18333333333333332,0.2025,0.202
0.266,10,445,0.15372855937213642,0.16,0.155,0.18333333333333332,0.2025,0.202
0.26,9,447,0.15413919861854775,0.15,0.155,0.18666666666666668,0.1925,0.19
0.26,15,1,0.1544763437834975,0.15,0.155,0.18666666666666668,0.1925,0.19
0.26,15,446,0.1556289136946432,0.14,0.15,0.18333333333333332,0.1875,0.186
0.27,15,449,0.15596548900895263,0.15,0.155,0.18666666666666668,0.19,0.19
0.272,15,146,0.15630720220093228,0.16,0.165,0.18666666666666668,0.1875,0.188
0.27,18,448,0.15631325118371533,0.17,0.165,0.18333333333333332,0.185,0.186
0.272,15,430,0.15662678154578125,0.17,0.165,0.18,0.1825,0.182
0.274,15,441,0.15692296188936403,0.17,0.16,0.17666666666666667,0.18,0.18
0.276,15,16,0.1569900098988588,0.17,0.16,0.17666666666666667,0.18,0.178
0.276,15,232,0.15728981197343891,0.18,0.17,0.18,0.1825,0.182
0.278,15,309,0.15744928606952724,0.19,0.175,0.18,0.1825,0.18
0.278,15,46,0.15751789704335942,0.18,0.175,0.18,0.1825,0.18
0.276,2,279,0.15817262686491898,0.19,0.18,0.18333333333333332,0.1825,0.18
0.274,2,308,0.15897912827595737,0.19,0.185,0.18333333333333332,0.1825,0.18
0.274,2,306,0.15921704948518126,0.19,0.185,0.18,0.18,0.178
0.274,0,454,0.1596265421693642,0.18,0.18,0.18,0.18,0.18
0.278,2,455,0.16032719675430804,0.19,0.18,0.18,0.18,0.18
0.28,2,122,0.16083489850150948,0.19,0.18,0.18,0.18,0.18
0.286,19,307,0.16046593498778888,0.19,0.18,0.18333333333333332,0.1825,0.182
0.294,5,244,0.16051929354632302,0.2,0.185,0.18666666666666668,0.185,0.184
0.3,16,453,0.16082573850268128,0.22,0.195,0.19333333333333333,0.19,0.186
0.306,2,245,0.16127548137082148,0.22,0.195,0.18666666666666668,0.185,0.182
0.312,6,259,0.16043357334814254,0.22,0.195,0.18666666666666668,0.1825,0.178
0.318,15,260,0.16075829864556263,0.22,0.2,0.19,0.1875,0.182
0.326,2,261,0.16113477908756782,0.22,0.2,0.19,0.1875,0.184
0.334,10,408,0.16052425958245378,0.22,0.2,0.19,0.1875,0.184
0.332,11,452,0.1601187251529162,0.22,0.2,0.19,0.1875,0.184
0.332,2,409,0.16080573487101762,0.22,0.2,0.19,0.1875,0.184
0.332,2,312,0.1602083141706228,0.21,0.195,0.18333333333333332,0.1825,0.18
0.334,7,53,0.160048290389016,0.2,0.19,0.18333333333333332,0.1825,0.18
0.336,15,208,0.15997265396518437,0.21,0.195,0.18666666666666668,0.185,0.182
0.338,15,327,0.16046847927895658,0.21,0.195,0.18666666666666668,0.1825,0.184
0.338,7,328,0.16125923043596951,0.21,0.195,0.18333333333333332,0.18,0.184
0.342,12,431,0.1599432988328056,0.21,0.195,0.18333333333333332,0.1825,0.186
0.344,10,180,0.15994953253698901,0.21,0.195,0.18333333333333332,0.1825,0.186
0.344,3,75,0.16028022718682522,0.2,0.2,0.18666666666666668,0.185,0.188
0.346,10,207,0.16014150950585232,0.2,0.205,0.19,0.1875,0.192
0.348,7,76,0.16108160882440953,0.2,0.205,0.19,0.1875,0.194
0.354,0,270,0.16036083204012555,0.2,0.205,0.19333333333333333,0.19,0.194
0.356,7,272,0.160666804572976,0.2,0.21,0.19666666666666666,0.1925,0.198
0.364,1,341,0.16060978563780612,0.2,0.21,0.2,0.2,0.202
0.372,7,39,0.16017910717102918,0.2,0.21,0.2,0.2,0.204
0.378,7,342,0.16101478900374633,0.2,0.215,0.20333333333333334,0.205,0.212
0.382,7,139,0.16014889594811033,0.23,0.23,0.21333333333333335,0.2125,0.218
0.39,7,121,0.16026793979775825,0.24,0.235,0.22,0.2175,0.222
0.394,7,28,0.1599772417548295,0.24,0.235,0.22333333333333333,0.22,0.224
0.404,7,253,0.16003921427856097,0.26,0.245,0.23,0.225,0.228
0.41,7,302,0.1599519826203586,0.26,0.245,0.22666666666666666,0.2225,0.226
0.41,7,368,0.159779205532204,0.26,0.245,0.22666666666666666,0.2225,0.226
0.41,4,117,0.16110956132722593,0.26,0.245,0.22666666666666666,0.2225,0.226
0.414,3,154,0.16014651255454024,0.26,0.25,0.23,0.225,0.228
0.416,4,31,0.1614667624195152,0.27,0.255,0.23333333333333334,0.2275,0.232
0.422,6,42,0.16233883831359183,0.27,0.26,0.24,0.2325,0.236
0.422,4,474,0.16516074829290714,0.27,0.26,0.24333333333333335,0.235,0.238
