classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
-1.0,15,55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,17,473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,18,41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.046,14,429,0.15012338649521098,0.05,0.04,0.06333333333333334,0.07,0.072
0.05,14,387,0.15017573716594446,0.05,0.04,0.06333333333333334,0.0725,0.074
0.058,14,405,0.1503393439668458,0.05,0.05,0.06666666666666667,0.075,0.078
0.062,2,279,0.15042140052358569,0.09,0.11,0.11333333333333333,0.11,0.108
0.07,12,92,0.15058144323345424,0.09,0.105,0.10666666666666667,0.1025,0.104
0.066,12,374,0.1508010936619408,0.08,0.1,0.10666666666666667,0.1,0.104
0.068,12,267,0.15093869996341422,0.08,0.1,0.10666666666666667,0.1,0.104
0.07,12,493,0.15111766521238557,0.08,0.1,0.10666666666666667,0.1,0.104
0.084,12,177,0.15122590145657933,0.08,0.1,0.10333333333333333,0.1025,0.106
0.092,12,476,0.15124742560167923,0.09,0.11,0.11,0.1075,0.11
0.098,1,145,0.15159499780771696,0.08,0.105,0.10666666666666667,0.105,0.108
0.11,1,255,0.15204636834143248,0.09,0.11,0.11,0.1075,0.114
0.11,1,411,0.1524905065080972,0.08,0.1,0.10333333333333333,0.1025,0.108
0.108,5,416,0.1526241846032387,0.08,0.1,0.10333333333333333,0.105,0.108
0.106,1,418,0.15303550214254485,0.08,0.095,0.10333333333333333,0.1075,0.108
0.102,1,47,0.15328074489268828,0.08,0.095,0.09666666666666666,0.1025,0.104
0.104,1,433,0.15363121776227187,0.08,0.095,0.09666666666666666,0.1025,0.104
0.106,1,138,0.15397425209003257,0.08,0.09,0.09333333333333334,0.1,0.1
0.112,1,460,0.15426379848375507,0.08,0.09,0.09333333333333334,0.1,0.1
0.116,1,290,0.15441665785151198,0.07,0.09,0.09333333333333334,0.1,0.102
0.126,1,472,0.15464656458951595,0.08,0.1,0.11333333333333333,0.1125,0.112
0.134,1,389,0.15478913552957066,0.11,0.11,0.12,0.12,0.118
0.138,1,360,0.15500038154462822,0.12,0.115,0.12666666666666668,0.1225,0.122
0.146,15,146,0.15543873352554868,0.11,0.115,0.12333333333333334,0.12,0.118
0.14,15,46,0.15584018924833049,0.11,0.11,0.11333333333333333,0.1125,0.108
0.136,15,1,0.15572156343844717,0.11,0.115,0.11666666666666667,0.115,0.11
0.136,14,421,0.1563493137757958,0.1,0.11,0.11333333333333333,0.1125,0.108
0.138,10,422,0.15699250332660927,0.08,0.1,0.10333333333333333,0.1025,0.1
0.134,7,439,0.15739996197710074,0.08,0.095,0.09666666666666666,0.0975,0.094
0.132,15,423,0.1582074529342687,0.08,0.095,0.09333333333333334,0.095,0.092
0.132,15,441,0.15848976325240147,0.08,0.095,0.09333333333333334,0.0975,0.094
0.132,15,446,0.15891585427045754,0.07,0.09,0.09,0.095,0.09
0.132,15,327,0.15936220698068904,0.07,0.085,0.08666666666666667,0.0925,0.088
0.14,15,50,0.15968061533832553,0.08,0.09,0.09,0.095,0.09
0.15,15,11,0.16001038802502857,0.09,0.095,0.09,0.0975,0.094
0.154,15,449,0.16029917370305394,0.09,0.09,0.08666666666666667,0.095,0.092
0.162,15,309,0.16047428579660744,0.1,0.11,0.1,0.11,0.106
0.164,15,232,0.16082503217952657,0.11,0.115,0.10333333333333333,0.115,0.114
0.168,15,188,0.16099632027083435,0.11,0.12,0.10666666666666667,0.115,0.114
0.176,18,435,0.16088221347418583,0.11,0.12,0.11,0.1175,0.116
0.176,2,470,0.1612875073448985,0.11,0.12,0.11,0.1175,0.116
0.178,15,436,0.16145382158557012,0.11,0.125,0.11333333333333333,0.12,0.118
0.18,2,308,0.16255514147357,0.13,0.14,0.12333333333333334,0.1275,0.126
0.182,2,469,0.16273734913359267,0.14,0.145,0.12666666666666668,0.13,0.13
0.182,2,261,0.16277878402832513,0.14,0.145,0.12666666666666668,0.13,0.13
0.182,2,245,0.16353853632930618,0.14,0.145,0.12666666666666668,0.1325,0.132
0.186,2,209,0.16404877147893623,0.14,0.145,0.12666666666666668,0.1325,0.134
0.186,19,311,0.16434112575237,0.14,0.145,0.12666666666666668,0.1325,0.134
0.188,16,453,0.1648071466493059,0.14,0.145,0.12666666666666668,0.13,0.132
0.19,2,312,0.16555217574008058,0.14,0.145,0.12666666666666668,0.13,0.132
0.19,2,455,0.166111688465116,0.14,0.145,0.12666666666666668,0.13,0.132
0.19,2,305,0.16528096753211408,0.14,0.145,0.12666666666666668,0.13,0.132
0.194,2,306,0.16567630783103598,0.14,0.145,0.12666666666666668,0.13,0.132
0.196,2,432,0.1657225557686615,0.14,0.145,0.12666666666666668,0.13,0.132
0.198,2,122,0.16588176845776575,0.14,0.145,0.12666666666666668,0.13,0.134
0.2,2,181,0.16602478271478846,0.14,0.145,0.12666666666666668,0.13,0.134
0.204,2,434,0.16625989667405658,0.15,0.15,0.13,0.135,0.138
0.208,2,109,0.16655435696320853,0.15,0.15,0.13,0.1325,0.136
0.212,2,33,0.16658091507902525,0.15,0.15,0.12666666666666668,0.13,0.134
0.214,2,40,0.16667147843125701,0.15,0.15,0.12666666666666668,0.13,0.134
0.216,2,488,0.16697340823792128,0.14,0.145,0.12333333333333334,0.1275,0.134
0.212,7,53,0.1678761031341708,0.14,0.145,0.12333333333333334,0.1275,0.136
0.216,17,366,0.16790575205818573,0.14,0.145,0.12333333333333334,0.1325,0.14
0.214,4,251,0.16927061221624165,0.15,0.15,0.13,0.1375,0.144
0.218,7,139,0.17114101586832295,0.15,0.155,0.13333333333333333,0.1375,0.142
0.218,7,368,0.17240816778295398,0.15,0.155,0.13333333333333333,0.14,0.144
0.222,7,253,0.17311451064810626,0.15,0.155,0.13333333333333333,0.14,0.144
0.226,7,250,0.17310236303606635,0.15,0.16,0.13666666666666666,0.1425,0.146
0.228,15,249,0.17344074690486627,0.16,0.165,0.13666666666666666,0.1425,0.146
0.232,3,75,0.17207969845768167,0.16,0.165,0.13666666666666666,0.1425,0.146
0.234,12,297,0.1728981486959394,0.16,0.165,0.13666666666666666,0.1425,0.146
0.234,11,367,0.17507277098789817,0.16,0.165,0.13666666666666666,0.1425,0.148
0.236,7,2,0.17488486520253538,0.16,0.165,0.13666666666666666,0.1425,0.146
0.238,7,76,0.17568823621365956,0.16,0.165,0.13333333333333333,0.14,0.144
