classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
-1.0,12,69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,2,305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,6,348,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.13,8,113,0.15012192947903877,0.07,0.075,0.07333333333333333,0.0775,0.074
0.134,8,137,0.1502664559854468,0.07,0.07,0.07,0.0775,0.074
0.13,7,52,0.15036852836399694,0.1,0.095,0.09,0.095,0.086
0.144,8,60,0.15047949843820982,0.08,0.095,0.1,0.1,0.092
0.124,7,194,0.1505269280836174,0.09,0.1,0.10333333333333333,0.105,0.092
0.12,7,302,0.15052049508177143,0.08,0.085,0.09333333333333334,0.0975,0.088
0.112,12,177,0.1505669760031636,0.08,0.075,0.08333333333333333,0.0925,0.082
0.118,8,7,0.1506129768811566,0.08,0.075,0.09,0.1,0.09
0.12,2,245,0.1507087891915294,0.08,0.07,0.09333333333333334,0.105,0.092
0.128,0,246,0.15080908156161696,0.08,0.07,0.09333333333333334,0.105,0.094
0.138,0,217,0.15065428722355903,0.08,0.065,0.08666666666666667,0.1,0.09
0.144,6,193,0.1507596284313261,0.08,0.065,0.08666666666666667,0.0975,0.088
0.146,17,159,0.1512480741675408,0.08,0.07,0.09,0.0975,0.088
0.154,16,158,0.1520335948390638,0.09,0.08,0.09666666666666666,0.105,0.096
0.164,5,244,0.15128830092081286,0.1,0.09,0.10333333333333333,0.11,0.1
0.164,9,149,0.15142474492449864,0.1,0.09,0.10666666666666667,0.1125,0.102
0.172,13,243,0.15145386179088532,0.1,0.09,0.11333333333333333,0.1175,0.106
0.176,3,242,0.15129951640322964,0.11,0.1,0.11666666666666667,0.12,0.108
0.18,0,278,0.15128856731239546,0.11,0.105,0.12333333333333334,0.125,0.112
0.19,12,297,0.15132529421522808,0.11,0.105,0.12333333333333334,0.125,0.112
0.206,18,258,0.15144778414792584,0.12,0.115,0.13333333333333333,0.135,0.12
0.214,19,277,0.15145373730561199,0.14,0.125,0.14,0.14,0.126
0.22,6,252,0.151864247051202,0.14,0.12,0.13666666666666666,0.1425,0.13
0.226,6,254,0.15287440546606504,0.13,0.12,0.14,0.1475,0.138
0.23,5,257,0.15208766297678972,0.14,0.125,0.14333333333333334,0.15,0.14
0.234,17,86,0.15201843383432057,0.13,0.12,0.14333333333333334,0.1525,0.144
0.244,10,157,0.15841611701990144,0.13,0.125,0.14333333333333334,0.1525,0.146
0.258,7,253,0.15685565185258918,0.13,0.13,0.14666666666666667,0.16,0.152
0.26,13,156,0.15934717838271992,0.13,0.13,0.14666666666666667,0.16,0.154
0.266,9,148,0.16095764337829677,0.14,0.14,0.15,0.1625,0.156
0.278,6,136,0.1635869011447641,0.15,0.145,0.16333333333333333,0.1725,0.166
0.286,12,92,0.15324054954525354,0.15,0.145,0.16666666666666666,0.17,0.166
0.29,11,241,0.15337613559142535,0.15,0.155,0.17666666666666667,0.1775,0.174
0.304,4,251,0.153711673026066,0.15,0.155,0.17666666666666667,0.1775,0.174
0.316,1,255,0.15339216538553552,0.16,0.16,0.17666666666666667,0.1775,0.176
0.316,19,307,0.15358706450045576,0.17,0.165,0.18,0.1825,0.182
0.324,7,293,0.1533341396032787,0.17,0.165,0.18333333333333332,0.185,0.182
0.33,16,300,0.15514913311617093,0.17,0.17,0.18666666666666668,0.1875,0.184
0.328,0,301,0.1585232302162941,0.16,0.165,0.18333333333333332,0.185,0.184
0.33,15,423,0.15347687938365992,0.16,0.165,0.18666666666666668,0.185,0.184
0.336,11,303,0.1652385398538633,0.16,0.165,0.18666666666666668,0.19,0.188
0.336,11,166,0.15372643196318808,0.17,0.17,0.19,0.195,0.192
0.34,14,291,0.15387495252038627,0.17,0.17,0.19,0.195,0.192
0.34,3,229,0.15443463571208976,0.17,0.17,0.19333333333333333,0.195,0.192
0.342,19,240,0.15447017132311577,0.17,0.175,0.19666666666666666,0.195,0.192
0.346,2,306,0.15544458338165362,0.17,0.175,0.19666666666666666,0.1975,0.194
0.352,4,276,0.1542994899466095,0.17,0.175,0.19666666666666666,0.1975,0.194
0.352,0,230,0.15711021094273012,0.18,0.18,0.2,0.2025,0.198
0.358,5,425,0.15470053597675062,0.18,0.18,0.2,0.2025,0.198
0.37,5,224,0.15603698383700573,0.19,0.185,0.20333333333333334,0.205,0.2
0.374,10,225,0.1586719907999441,0.2,0.19,0.20666666666666667,0.21,0.204
0.372,19,226,0.1612830650838056,0.2,0.195,0.21,0.21,0.204
0.372,1,418,0.16079982984797073,0.22,0.205,0.21666666666666667,0.215,0.208
0.372,9,238,0.15476714990126106,0.21,0.2,0.21333333333333335,0.215,0.212
0.378,13,424,0.15451059048499,0.21,0.2,0.21333333333333335,0.215,0.212
0.386,12,227,0.1714577548737181,0.22,0.205,0.21666666666666667,0.2175,0.216
0.39,6,419,0.17182220981918245,0.22,0.21,0.22,0.225,0.224
0.388,11,135,0.15813853807995765,0.22,0.21,0.22,0.225,0.224
0.394,8,428,0.15592681376107742,0.22,0.205,0.22666666666666666,0.23,0.23
0.402,12,228,0.18103036745451467,0.22,0.21,0.23333333333333334,0.235,0.234
0.41,14,421,0.18227270234039097,0.22,0.21,0.23333333333333334,0.2375,0.238
