classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
-1.0,12,69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,2,305,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,6,348,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0.122,8,27,0.14985190829965783,0.08,0.085,0.07666666666666666,0.0725,0.074
0.13,14,219,0.14990057090832287,0.08,0.085,0.07666666666666666,0.075,0.076
0.138,16,442,0.1499177758709756,0.11,0.105,0.09,0.0875,0.09
0.14,0,396,0.14993536564390722,0.12,0.12,0.1,0.095,0.098
0.154,15,441,0.14999288122939233,0.12,0.125,0.11,0.1075,0.112
0.18,10,94,0.14997357910858486,0.14,0.14,0.12333333333333334,0.12,0.124
0.188,4,251,0.15000801942627814,0.16,0.16,0.14333333333333334,0.1425,0.144
0.212,4,123,0.15004084422598263,0.17,0.165,0.15333333333333332,0.155,0.158
0.23,6,134,0.15004213624574447,0.19,0.185,0.17,0.17,0.178
0.242,7,440,0.15048817918960397,0.21,0.195,0.17333333333333334,0.17,0.178
0.242,7,250,0.1501479905294946,0.23,0.195,0.17666666666666667,0.1725,0.184
0.252,0,301,0.1501530990840418,0.21,0.18,0.16666666666666666,0.1675,0.178
0.246,1,218,0.15387085811069018,0.2,0.18,0.15666666666666668,0.155,0.17
0.25,12,228,0.1502622338571839,0.21,0.185,0.16,0.16,0.172
0.246,19,226,0.1505579004588818,0.21,0.19,0.16666666666666666,0.1675,0.176
0.24,7,439,0.15088515756772952,0.21,0.185,0.16333333333333333,0.1575,0.168
0.24,0,217,0.1512739462223265,0.19,0.175,0.16333333333333333,0.16,0.172
0.234,17,438,0.15098436928611925,0.19,0.175,0.16333333333333333,0.1575,0.168
0.23,2,434,0.1513294496234204,0.17,0.165,0.15666666666666668,0.155,0.166
0.228,18,435,0.15313612363880458,0.17,0.165,0.15666666666666668,0.155,0.164
0.224,12,431,0.15152338411322158,0.16,0.155,0.15,0.15,0.158
0.222,10,437,0.1567401447543511,0.18,0.165,0.15666666666666668,0.155,0.158
0.224,12,227,0.15752936021470842,0.18,0.155,0.15,0.15,0.156
0.228,2,432,0.1566984439563947,0.18,0.15,0.14666666666666667,0.1475,0.156
0.232,1,433,0.1584091009395779,0.18,0.155,0.15,0.155,0.162
0.242,9,479,0.15178534288390014,0.17,0.145,0.14,0.1475,0.158
0.248,1,472,0.15161954593010354,0.19,0.155,0.14333333333333334,0.1475,0.16
0.248,7,427,0.15167248074080764,0.2,0.16,0.14666666666666667,0.15,0.164
0.254,13,36,0.1512162842143519,0.21,0.17,0.15333333333333332,0.155,0.17
0.258,15,313,0.1513002328024806,0.21,0.17,0.15333333333333332,0.155,0.17
0.264,14,291,0.15135522666258255,0.21,0.165,0.15,0.1525,0.166
0.266,0,330,0.15128693839535745,0.21,0.165,0.15333333333333332,0.1525,0.17
0.272,10,331,0.1513701016541761,0.21,0.165,0.15666666666666668,0.155,0.172
0.274,10,175,0.1514138262642662,0.21,0.165,0.16,0.16,0.176
0.276,13,29,0.15147084118298126,0.21,0.165,0.15666666666666668,0.1575,0.174
0.278,18,67,0.15161687319374942,0.2,0.165,0.16,0.16,0.178
0.282,10,225,0.15213305401151586,0.19,0.16,0.15666666666666668,0.155,0.174
0.286,3,471,0.15412565774353093,0.19,0.165,0.16,0.1575,0.174
0.292,16,478,0.15492676159942634,0.19,0.16,0.15666666666666668,0.155,0.172
0.29,4,426,0.15397169300383728,0.2,0.17,0.16333333333333333,0.16,0.176
0.296,7,216,0.1578430368080998,0.2,0.17,0.16333333333333333,0.16,0.178
0.298,1,290,0.15199050301682304,0.2,0.17,0.16333333333333333,0.16,0.178
0.296,0,278,0.1520766289915199,0.2,0.17,0.17,0.165,0.184
0.298,8,289,0.15207702706661033,0.2,0.17,0.17,0.165,0.186
0.302,6,419,0.15229143042760193,0.2,0.17,0.17,0.165,0.184
0.304,19,363,0.15221275507530632,0.2,0.18,0.17666666666666667,0.17,0.188
0.302,14,421,0.15345541820006586,0.21,0.19,0.18666666666666668,0.1775,0.192
0.304,18,174,0.1522533150278217,0.21,0.19,0.18666666666666668,0.1775,0.192
0.304,5,425,0.15428535593804438,0.22,0.185,0.18333333333333332,0.175,0.188
0.304,2,470,0.15494342162583757,0.22,0.185,0.18333333333333332,0.175,0.188
0.308,17,172,0.15321630922978005,0.23,0.19,0.18666666666666668,0.1775,0.19
0.312,10,420,0.15568706214014794,0.23,0.195,0.19,0.18,0.192
0.316,2,469,0.15480722268786898,0.23,0.195,0.19,0.1775,0.19
0.316,10,422,0.16125594816201186,0.23,0.195,0.19333333333333333,0.18,0.194
0.318,13,170,0.15686688138627813,0.22,0.195,0.19333333333333333,0.18,0.194
0.322,1,215,0.1576623811631074,0.22,0.195,0.19,0.1775,0.19
0.33,13,171,0.15713548219918141,0.23,0.2,0.19333333333333333,0.18,0.19
0.332,15,214,0.15734178230603402,0.23,0.2,0.19333333333333333,0.18,0.188
0.328,2,477,0.15935602771496205,0.23,0.2,0.19333333333333333,0.1825,0.192
0.336,15,423,0.1773136596718078,0.23,0.2,0.19333333333333333,0.1825,0.192
0.336,14,133,0.1802083020086634,0.22,0.19,0.19,0.18,0.19
