group,cv,npmi,umass,cuci
CTM,0.8709120266,0.2742013852,-1.028673448,0.4309799815
CTM,0.7855563382,0.1984331466,-1.153390856,0.3832261333
CTM,0.5487234732,0.0818904063,-1.634119909,0.2794892489
CTM,0.5449793305,0.08024325804,-1.950851464,0.2412597985
CTM,0.520498701,0.04807881159,-1.987443517,0.1532798276
CTM,0.4283230702,0.04798558543,-2.146159118,0.005569690841
CTM,0.4023685949,0.02934993886,-2.513797834,-0.3909245837
CTM,0.3833805896,-0.01477063651,-2.614931853,-0.6152350704
CTM,0.3760035388,-0.03411700841,-2.717193231,-1.247599364
CTM,0.3732172984,-0.04668547573,-2.876156653,-1.448835699
CTM,0.3637985349,-0.05452342311,-3.042580729,-1.652652285
CTM,0.3561614409,-0.06537433158,-3.635150327,-1.916236998
CTM,0.3560436973,-0.06577988534,-3.658943589,-2.105905137
CTM,0.3537867332,-0.07960185443,-3.849656025,-2.340463442
CTM,0.340212855,-0.08770191885,-3.90769472,-2.362489712
CTM,0.3293308473,-0.09748798395,-4.143647173,-2.513308628
CTM,0.3223315118,-0.0974915751,-4.261286165,-2.8527277
CTM,0.3097814126,-0.101398887,-4.305473078,-2.921140144
CTM,0.3053441079,-0.1069812563,-4.447703936,-3.252460147
CTM,0.301390629,-0.1097514358,-4.644293196,-3.381611021
CTM,0.2900392612,-0.1242349295,-4.734848583,-3.493378932
CTM,0.2793172971,-0.134903254,-4.785053729,-3.736377055
CTM,0.2727170527,-0.1384041747,-5.360677017,-3.880053599
CTM,0.2476586543,-0.1450814623,-5.664726081,-4.128554408
CTM,0.245792097,-0.1462669623,-5.736609312,-4.297730965
CTM,0.2429615963,-0.149317251,-6.378512722,-5.150713435
CTM,0.2399772261,-0.1753848409,-6.572104004,-5.175745917
CTM,0.2317000504,-0.1800835215,-6.94748303,-5.892991192
CTM,0.2285152549,-0.2198585847,-7.092188956,-6.372112573
CTM,0.226514257,-0.2437943097,-7.286558934,-6.379811749
CTM,0.2009605937,-0.2717815216,-7.528616464,-6.442660075
CTM,0.1944957598,-0.2915309534,-7.909888658,-7.456868336
CTM,0.1726310426,-0.2960711534,-8.706339001,-8.611248348
CTM,0.1627036636,-0.3119696705,-8.785408882,-8.668933056
CTM,0.1584413697,-0.5285352917,-14.19548318,-14.37020871
LDA,0.7439516132,0.2207305102,-1.27152122,0.8981802247
LDA,0.5734785314,0.0765295252,-1.44744155,0.3436688244
